;book_id;title;author;avg_rating;user_rating;bookshelf
119;63847274;A Soul of Ash and Blood (Blood and Ash, #5);Armentrout, Jennifer L.;3.99;;to-read
120;57815107;The War of Two Queens (Blood and Ash, #4);Armentrout, Jennifer L.;4.08;;to-read
121;55240343;The ​Crown of Gilded Bones (Blood and Ash, #3);Armentrout, Jennifer L.;4.20;;to-read
122;54319549;A Kingdom of Flesh and Fire (Blood and Ash, #2);Armentrout, Jennifer L.;4.38;;to-read
123;62012464;La perla rossa (Blood and Ash, #1.5);Armentrout, Jennifer L.;4.22;;to-read
124;52831200;From Blood and Ash (Blood and Ash, #1);Armentrout, Jennifer L.;4.25;;to-read
125;76714487;Tower of Dawn (Throne of Glass, #6);Maas, Sarah J.;4.27;;to-read
126;76713323;Empire of Storms (Throne of Glass, #5);Maas, Sarah J.;4.60;;to-read
127;76707900;Queen of Shadows (Throne of Glass, #4);Maas, Sarah J.;4.58;;to-read
128;76706470;Heir of Fire (Throne of Glass, #3);Maas, Sarah J.;4.46;;to-read
129;76705490;Crown of Midnight (Throne of Glass, #2);Maas, Sarah J.;4.35;;to-read
130;25744928;Deep Work: Rules for Focused Success in a Distracted World;Newport, Cal;4.19;;to-read
131;15843166;You Are a Badass;Sincero, Jen;3.95;;to-read
132;6596;The Four Agreements;Ruiz, Miguel;4.18;;to-read
133;18144590;The Alchemist;Coelho, Paulo;3.90;;to-read
134;22628;The Perks of Being a Wallflower;Chbosky, Stephen;4.23;;to-read
135;57699848;Go Tell the Bees That I Am Gone (Outlander, #9);Gabaldon, Diana;4.45;;to-read
136;11710373;Written in My Own Heart's Blood (Outlander, #8);Gabaldon, Diana;4.55;;to-read
137;21418017;The Space Between (Outlander, #7.5);Gabaldon, Diana;4.25;;to-read
138;2832909;An Echo in the Bone (Outlander, #7);Gabaldon, Diana;4.44;;to-read
139;10965;A Breath of Snow and Ashes (Outlander, #6);Gabaldon, Diana;4.44;;to-read
140;10967;The Fiery Cross (Outlander, #5);Gabaldon, Diana;4.25;;to-read
141;40909452;Drums of Autumn (Outlander, #4);Gabaldon, Diana;4.35;;to-read
142;10987;Voyager (Outlander, #3);Gabaldon, Diana;4.39;;to-read
143;5364;Dragonfly in Amber (Outlander, #2);Gabaldon, Diana;4.34;;to-read
144;57945316;Babel;Kuang, R.F.;4.23;;to-read
145;7743175;A Memory of Light (The Wheel of Time, #14);Jordan, Robert;4.56;;to-read
146;8253920;Towers of Midnight (The Wheel of Time, #13);Jordan, Robert;4.47;;to-read
147;1166599;The Gathering Storm (The Wheel of Time, #12);Jordan, Robert;4.42;;to-read
148;13888;Knife of Dreams (The Wheel of Time, #11);Jordan, Robert;4.19;;to-read
149;113435;Crossroads of Twilight (The Wheel of Time, #10);Jordan, Robert;3.79;;to-read
150;13891;Winter's Heart (The Wheel of Time, #9);Jordan, Robert;3.96;;to-read
151;2486401;Snow: The Prologue to Winter's Heart (Wheel of Time, part of #9);Jordan, Robert;4.13;;to-read
152;140974;The Path of Daggers (The Wheel of Time, #8);Jordan, Robert;3.93;;to-read
153;13890;A Crown of Swords (The Wheel of Time, #7);Jordan, Robert;4.06;;to-read
154;35231;Lord of Chaos (The Wheel of Time, #6);Jordan, Robert;4.18;;to-read
155;13895;The Fires of Heaven (The Wheel of Time, #5);Jordan, Robert;4.19;;to-read
156;9539;The Shadow Rising (The Wheel of Time, #4);Jordan, Robert;4.27;;to-read
157;12111823;The Winds of Winter (A Song of Ice and Fire, #6);Martin, George R.R.;4.40;;to-read
